customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST-0000,Female,0,Yes,Yes,51,Yes,Yes,DSL,No,No,No,No internet service,Yes,No,Two year,No,Mailed check,82.38,4202.29,No
CUST-0001,Female,0,No,No,14,No,Yes,Fiber optic,No,No,No internet service,No,Yes,Yes,Month-to-month,No,Credit card (automatic),98.98,1317.26,No
CUST-0002,Female,0,Yes,No,71,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Credit card (automatic),65.1,4600.12,No
CUST-0003,Male,0,No,Yes,60,Yes,No phone service,Fiber optic,No,No,Yes,No internet service,No,Yes,Two year,Yes,Electronic check,54.53,3300.83,No
CUST-0004,Female,0,Yes,No,20,Yes,No,DSL,No internet service,No,No,No,No internet service,No,Two year,Yes,Credit card (automatic),28.95,547.58,No
CUST-0005,Male,0,No,No,23,Yes,Yes,DSL,No,Yes,Yes,No internet service,No,No internet service,Two year,No,Credit card (automatic),106.47,2438.8,No
CUST-0006,Female,1,No,No,2,Yes,No,No,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,97.1,279.04,No
CUST-0007,Female,0,No,No,21,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Electronic check,34.98,834.08,No
CUST-0008,Male,0,No,Yes,52,Yes,No,DSL,Yes,No,No,No internet service,No internet service,No,Month-to-month,No,Credit card (automatic),69.74,3518.41,No
CUST-0009,Female,0,No,No,1,Yes,No,Fiber optic,No internet service,No,No,No,No internet service,No,Two year,Yes,Bank transfer (automatic),67.22,72.91,Yes
CUST-0010,Male,0,Yes,Yes,29,Yes,Yes,No,No,Yes,No,No,No internet service,Yes,One year,Yes,Credit card (automatic),81.13,2498.62,No
CUST-0011,Male,0,No,No,37,Yes,No,Fiber optic,No,No,No internet service,No,No,No internet service,One year,Yes,Mailed check,113.56,4225.66,No
CUST-0012,Female,0,No,No,1,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,76.56,77.48,Yes
CUST-0013,Male,0,No,No,63,Yes,Yes,Fiber optic,Yes,No,No internet service,Yes,No internet service,No,One year,No,Electronic check,72.56,4636.91,No
CUST-0014,Female,0,No,No,59,Yes,Yes,DSL,No,No,Yes,No internet service,No,Yes,Two year,No,Credit card (automatic),23.08,1372.62,No
CUST-0015,Female,0,Yes,No,20,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Two year,No,Electronic check,24.35,522.46,No
CUST-0016,Female,0,Yes,No,32,Yes,No,No,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,36.92,1170.92,No
CUST-0017,Female,0,No,Yes,57,Yes,No phone service,No,No,Yes,Yes,No internet service,No,Yes,Two year,Yes,Mailed check,21.28,1223.14,No
CUST-0018,Male,0,Yes,No,21,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,93.08,1976.01,Yes
CUST-0019,Male,0,No,Yes,48,No,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,One year,No,Electronic check,91.06,4414.16,Yes
CUST-0020,Female,0,No,Yes,58,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Yes,No,One year,Yes,Bank transfer (automatic),31.74,1819.33,No
CUST-0021,Male,0,Yes,No,41,Yes,Yes,DSL,Yes,Yes,No,Yes,No internet service,Yes,Month-to-month,Yes,Mailed check,102.44,4177.1,No
CUST-0022,Male,0,No,No,59,Yes,No,Fiber optic,No,No internet service,Yes,Yes,Yes,No,Month-to-month,No,Mailed check,33.63,1887.8,Yes
CUST-0023,Male,0,Yes,No,14,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,48.42,658.52,No
CUST-0024,Female,0,No,No,61,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,No internet service,Month-to-month,Yes,Bank transfer (automatic),43.15,2679.8,Yes
CUST-0025,Male,0,No,Yes,61,Yes,Yes,DSL,Yes,No,No,Yes,No,No internet service,Month-to-month,Yes,Electronic check,55.6,3414.76,No
CUST-0026,Female,0,No,No,46,Yes,Yes,Fiber optic,No,Yes,No,No internet service,No,No,One year,No,Electronic check,43.72,1961.28,No
CUST-0027,Female,0,No,Yes,61,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,No,Two year,Yes,Bank transfer (automatic),67.38,4014.99,No
CUST-0028,Male,0,No,No,50,Yes,No,Fiber optic,No internet service,Yes,No internet service,No internet service,Yes,Yes,One year,Yes,Electronic check,59.15,2950.38,Yes
CUST-0029,Female,0,No,Yes,54,Yes,Yes,Fiber optic,Yes,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,117.64,6398.75,Yes
CUST-0030,Male,0,Yes,No,63,Yes,No,DSL,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),23.65,1466.01,No
